Title,Year,Genre,Synopsis,IMDb id
Dr. Pomerantz,NA,Drama,"Doctor Yoel Pomerantz is a washed-up, self-loathing psychologist who lives on the 12th floor of a high-rise with his Aspberger's son, Yoav, who spends his days pretending to be a traffic ...                See full synopsis »",2072948
Sweets,NA,"Comedy, Crime, Drama","Salah, an Israeli-Arab enterpriser, strives to bring happiness for the children of the Arab sector in Israel by opening a new chain of candy stores. 'The Firm', an Israeli corporation ...                See full summary »",2956940
Midnight Entertainer,NA,"Drama, Music","Tiki Dayan is an overweight girl who gains the attention of singer Pik. He wants only a professional relationship with her, she wants romance.",0133396
Nerd Club: The Movie,NA,Comedy,Add a Plot,7234936
An Intimate Story,NA,Drama,Reveals at close range the two levels of emotions existing in individual lives in a kibbutz. An atmosphere of warmth and concern is expressed as Leah's repeated miscarriages cause the ...                See full summary »,0083084
Synonyms,NA,"Comedy, Drama","A young Israeli man absconds to Paris to flee his nationality, aided by his trusty Franco-Israeli dictionary.",7016254
Hannah Arendt,NA,"Biography, Drama","A look at the life of philosopher and political theorist Hannah Arendt, who reported for 'The New Yorker' on the trial of the Nazi leader Adolf Eichmann in Jerusalem.",1674773
Andante,NA,"Drama, Mystery, Sci-Fi","In a post-industrial world people are no longer able to dream. A factory run by Mr Terrier sells the frightened, sleepless masses a dreaming experience. Sarah, the single surviving dreamer,...                See full summary »",1677514
Up the Wrong Tree,NA,Drama,"This is the story of Nits, a restless bum and a hopeless cynic as he returns from his journey with an obsessive intention of bringing back his ex- girlfriend and their beloved dog. She ...                See full summary »",2388797
Send Me an Angel,NA,Romance,"Ron a handsome Israeli gay man wants a kiss on his birthday. When he tries to get it from Sahar, a beautiful blonde hustler in a black leather jacket things don't go quite as planned.",0376172
Operation Shtreimel,NA,"Action, Comedy, War","Three friends, with the aid of an American agent, set out to knock the German Army off its feet.",0086053
The Golem,NA,"Drama, Horror","During an outbreak of a deadly plague in Lithuania, a mystical woman must save her tight-knit Jewish community from a gang of ruffians led by a local landowner, but the entity she conjures to protect them is a far greater evil.",8329290
Sand Storm,NA,Drama,"When their entire lives shatter, two Bedouin women struggle to change the unchangeable rules, each in her own individual way.",4365518
The Assassin Next Door,NA,"Action, Drama, Thriller",A woman forced to work for the Russian Mafia as an assassin agrees to help her next-door neighbor kill her abusive husband.,1198153
Asia,NA,Drama,"Despite living together, Asia barely interacts with her daughter Vika. Their routine is shaken when Vika's health deteriorates rapidly. Asia must step in and become the mother Vika so desperately needs",10032266
Total Love,NA,"Adventure, Romance","Three friends concoct the ultimate love drug, TLV, and fall in love with the same woman, Renana. Years later, Renana's ex-lovers team up to rescue her from an Indian prison.",0270500
Messagest Hatzameret,NA,"Comedy, Drama","A masseur has very capable ""electrical"" hands for the women who come to him. He begins to take a special interest in three of his clients to whom he offers treatment in a more intimate ...                See full summary »",0151545
Out of the Blue,NA,"Comedy, Crime, Drama","Out of the Blue is a comedy about abortive loves and a friendship which survives them. Shabtai, a junk peddler and Herzel, his aide, drive through the streets of Tel Aviv buying and selling...                See full summary »",1290398
Across the Wall,NA,"Animation, Comedy","LILY PILEOUS (14) lives in Curly Hill, a land defined by hair. When Lily online meets Ragtop (15) from Baldy Heights and they discovers an earth-shattering secret, they will abandon ...                See full summary »",5447956
Bena,NA,Drama,"Amos lives alone with his schizophrenic teenage son, whom he refuses to intern in the psychiatry ward - he knows only too well how they treat their patients there. One day, Amos brings home...                See full summary »",1454447
The Last Patrol,NA,"Action, Drama, Sci-Fi","After a massive earthquake destroys Los Angeles, a new order is formed. But disagreement among the ranks leads to more war and disruption, and The Last Patrol must bring order if there's to be any hope for the future.",0214871
Blush,NA,"Comedy, Drama, Romance","Trying to escape her tumultuous home life, Naama, 17, indulges in alcohol and drugs, but everything changes when she meets a sexy, free-spirited new girl at school and the two become more than fast friends.",5022872
Fateless,NA,"Drama, Romance, War","14-year-old György's life is torn apart in WWII Hungary, as he is deported first to Auschwitz and then to Buchenwald, where he is forced to become a man in the midst of hatred, and what it really means to be Jewish.",0367082
Speedway Junky,NA,"Crime, Drama, Romance","Johnny wants to be a stock car racer one day. He meets a young, gay hustler in Vegas, who takes him to meet his friends/gang and his ""mom"", an ex hooker etc.",0155197
Buzz,NA,"Crime, Drama","Based on real events which occurred in 1994 at Ra'anana, Israel. Two 14-year-old teenagers lead themselves downwards into a world of violence, crime, and even murder.",0161353
Tied Hands,NA,Drama,"The film tells the story of a sensitive and complex relationship between a mother and her ailing son. Like in Hans Christian Anderson's fairy tale ""The Loveliest Rose in the World"" where a ...                See full summary »",0833548
Matinee,NA,Drama,"Three interwoven stories of women on the verge of a mental breakdown, seeking a way out of their misery, while confronting secrets that will change them forever. All three women are named ...                See full summary »",1880216
Licking the Raspberry,NA,"Drama, Music, Romance",Add a Plot,0151326
Yona,NA,Biography,The life story of legendary Israeli poet Yona Wallach.,2315388
The Last Robbery,NA,"Comedy, Crime, Drama","Singer Avi Biter needs to perform one last robbery to regain his first love - Margaritha. During his quest for love and money, he learns a valuable lesson about friendship and the history of the Jewish people.",20221848
Worlds Apart,NA,Drama,"After fighting the Arab armies, Assaf, an Israeli soldier, falls in love with an American living in the Arab district of Jerusalem. One day, he believes he recognizes a wanted terrorist.",0133349
Operation Egg,NA,"Adventure, Comedy, Family","A couple of con-men decide to grab a rare eagle's egg that's being transferred from the Ramat Gan Safari Park to a venue on the Golan Heights so it can be added to a dish on a cooking competition, and win a big prize.",7245120
The Plumber,NA,Comedy,Add a Plot,0148333
Neve Shaanan,NA,Drama,Add a Plot,12562576
Adam,NA,"Drama, Thriller",Add a Plot,0133336
Actors,NA,Drama,Sory of young people that the dream is to become actors in the theater.,0114325
Alice,NA,Drama,The rehabilitation center houses and treats thirty young women who have suffered emotional crisis. Alice prefers as little communication as possible with the girls and performs only the ...                See full summary »,2219896
Katz and Carrasso,NA,"Comedy, Drama",Two feuding insurance brokers vie for a big oil company contract. One family sends the son to meet with the prospective clients and the other sends their daughter and the two fall in love.,0142428
HaHefech,NA,NA,"The romance between a Yochai - a yeshiva student and a sick girl, viewed in retrospect 30 years later by Yochai who is now the Rosh-Yeshia",13261762
A Responsible Adult,NA,Drama,Plot unknown.,8286674
Aya: Imagined Autobiography,NA,"Biography, Drama","Aya is a woman who, since early childhood, has been driven by her father's ambition to see her become successful. Now she is shooting a film and fragments of dreams ad fantasy alternate with reality.",0109177
Day of Judgment,NA,Drama,"A hotel manager, who left his wife and daughter and immigrated to the U.S.A, returns to Israel to participate in the Yom Kippur War. After he gets injured in a battle, he receives a blood ...                See full summary »",0147738
Radical,NA,"Crime, Thriller","The murder of a mysterious woman unfolds the brutal story of an Israeli radical group, the tycoon they are hunting for and the crooked cops that are stuck in between.",3239954
Attraction,NA,Drama,Add a Plot,0143345
The Man Who Flew in to Grab,NA,"Comedy, Drama",Add a Plot,0151079
Compromise,NA,NA,Add a Plot,0164501
A Pound a Piece,NA,Drama,"Gidi ""the tall"" and Jako ""the short"", are two bums who colourfully paint the gray streets of Tel Aviv, trying to make some money and find a shelter.",0148659
Take Two,NA,Drama,Add a Plot,0069340
Love Letters from the War,NA,"Drama, History, War",The film tells the story of the year before the Battle of the Kfar Etzion in 1948 and the story of the battle and the slaughter of the Jews was carried out by the Jordanian Legion and Arab rioters.,4179400
A Great Light,NA,"Crime, Thriller","A psychological thriller set in Tel Aviv following an analytic female detective 's investigation into the disappearance of a teenage girl, as her chess-like maneuvers jeopardize the young brother's life, and her own mental state.",6866920
Istahar,NA,Drama,A family escapes from Iraq and forced to leave behind a baby. Years later they come to the conclusion that she is dead. But what if not?,6971276
Gabi Ben Yakar,NA,Drama,Add a Plot,0133785
Tomorrow's Yesterday,NA,Drama,Add a Plot,0136811
Yonatan and Tali,NA,Drama,Add a Plot,5910264
Christmas in the Holy Land,NA,NA,Add a Plot,0245052
Stress,NA,NA,Add a Plot,0214165
Murder C.O.D.,NA,"Crime, Drama",Add a Plot,0068686
Hayeh Ahaltah Otah,NA,Comedy,A few seconds are devoted to giving this candid-camera movie a bit of a framework: prankster Yuda Barkan volunteers to show bright-eyed visitor Caroline Langford the foibles of the Israeli public.,0133844
